optimizer_name,benchmark_suite,f_id,i_id,precision
RealSpacePSO,bbob,20,2,1.2436229244434003
RealSpacePSO,bbob,20,3,1.1647126898313473
RealSpacePSO,bbob,20,4,1.0462353459196834
RealSpacePSO,bbob,20,5,1.204201785885037
RealSpacePSO,bbob,21,1,2.946820004934729
RealSpacePSO,bbob,21,2,2.1872197845862393
RealSpacePSO,bbob,21,3,1.5241374598194284
RealSpacePSO,bbob,21,4,2.364389250835851
RealSpacePSO,bbob,21,5,2.625481138516932
RealSpacePSO,bbob,22,1,1.9549988657136055
RealSpacePSO,bbob,22,2,4.613314031800371
RealSpacePSO,bbob,22,3,5.06273746539814
RealSpacePSO,bbob,22,4,1.9549988676216685
RealSpacePSO,bbob,22,5,7.271629200719829
RealSpacePSO,bbob,23,1,0.5793469554272996
RealSpacePSO,bbob,23,2,0.4935090146630859
RealSpacePSO,bbob,23,3,0.5327473315357878
RealSpacePSO,bbob,23,4,0.5302364571692522
RealSpacePSO,bbob,23,5,0.4598441489710936
RealSpacePSO,bbob,24,1,29.025434388455366
RealSpacePSO,bbob,24,2,24.232061511753088
RealSpacePSO,bbob,24,3,26.960284608661205
RealSpacePSO,bbob,24,4,23.0898557248549
RealSpacePSO,bbob,24,5,21.996916572500638
RealSpacePSO,cec2013,1,1,1.119894932344323e-08
RealSpacePSO,cec2013,2,1,60400.26770590902
RealSpacePSO,cec2013,3,1,2503990.765918363
RealSpacePSO,cec2013,4,1,6361.03478335882
RealSpacePSO,cec2013,5,1,1.3090357242617756e-08
RealSpacePSO,cec2013,6,1,9.812428350183552
RealSpacePSO,cec2013,7,1,43.18664102574314
RealSpacePSO,cec2013,8,1,20.327556347501
RealSpacePSO,cec2013,9,1,4.666553726243706
RealSpacePSO,cec2013,10,1,0.38034478517465686
RealSpacePSO,cec2013,11,1,11.44201908093467
RealSpacePSO,cec2013,12,1,18.9041943540486
RealSpacePSO,cec2013,13,1,34.92254302535933
RealSpacePSO,cec2013,14,1,418.4186280676745
RealSpacePSO,cec2013,15,1,957.7176619626177
RealSpacePSO,cec2013,16,1,0.4665648266252589
RealSpacePSO,cec2013,17,1,19.904976895759518
RealSpacePSO,cec2013,18,1,26.477829140726044
RealSpacePSO,cec2013,19,1,0.7851990481394466
RealSpacePSO,cec2013,20,1,3.5274361489297803
RealSpacePSO,cec2013,21,1,400.19386721861315
RealSpacePSO,cec2013,22,1,663.9696875287187
RealSpacePSO,cec2013,23,1,1195.1036825405731
RealSpacePSO,cec2013,24,1,218.01854728394107
RealSpacePSO,cec2013,25,1,215.7675662905949
RealSpacePSO,cec2013,26,1,200.02216912242784
RealSpacePSO,cec2013,27,1,517.8704826366807
RealSpacePSO,cec2013,28,1,300.00000000000045
RealSpacePSO,cec2014,1,1,2448.3767105723873
RealSpacePSO,cec2014,2,1,1279.2007720755223
RealSpacePSO,cec2014,3,1,251.38235599305415
RealSpacePSO,cec2014,4,1,34.78545558990734
RealSpacePSO,cec2014,5,1,19.999999778334995
RealSpacePSO,cec2014,6,1,2.735658975884519
RealSpacePSO,cec2014,7,1,0.08116119260819232
RealSpacePSO,cec2014,8,1,11.939498609481404
RealSpacePSO,cec2014,9,1,18.406704727144813
RealSpacePSO,cec2014,10,1,259.1224191488227
RealSpacePSO,cec2014,11,1,625.545910678211
RealSpacePSO,cec2014,12,1,0.11862209109597188
RealSpacePSO,cec2014,13,1,0.19756328559822123
RealSpacePSO,cec2014,14,1,0.26165483396232503
RealSpacePSO,cec2014,15,1,0.9292497793943539
RealSpacePSO,cec2014,16,1,2.5993319291630996
RealSpacePSO,cec2014,17,1,2021.3686995832797
RealSpacePSO,cec2014,18,1,5070.131706739274
RealSpacePSO,cec2014,19,1,1.7782119913576935
RealSpacePSO,cec2014,20,1,989.4754685272596
RealSpacePSO,cec2014,21,1,197.81140258590585
RealSpacePSO,cec2014,22,1,50.85346964729047
RealSpacePSO,cec2014,23,1,329.4574747107131
RealSpacePSO,cec2014,24,1,127.70813595433151
RealSpacePSO,cec2014,25,1,202.09384428579347
RealSpacePSO,cec2014,26,1,100.17481068285406
RealSpacePSO,cec2014,27,1,370.70263345234275
RealSpacePSO,cec2014,28,1,522.3674271357017
RealSpacePSO,cec2014,29,1,625.5396720461961
